City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
639,Tamandare,BR,77.68,few clouds,-8.7597,-35.1047,Pousada 100 Passos
641,San Carlos,VE,79.39,broken clouds,9.6612,-68.5827,Hotel Paternopoli
644,Biak,ID,81.48,overcast clouds,-0.9131,122.8766,Penginapan Kim
652,Batticaloa,LK,79.02,overcast clouds,7.7102,81.6924,Grand Star Guest House
654,Jizan,SA,83.34,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
655,Banjar,ID,83.84,overcast clouds,-8.19,114.9675,The Hamsa Resort
658,Osmena,PH,83.91,few clouds,10.5208,119.9258,Arjemarkyza Lodge
661,Manaure,CO,79.68,overcast clouds,11.7751,-72.4445,Hotel Palaaima
662,Mandiana,GN,88.25,overcast clouds,10.6333,-8.6833,Motels rouzo
666,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
669,Celestun,MX,79.09,clear sky,20.8667,-90.4,Posada Lilia
672,Ternate,ID,82.17,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
680,Amahai,ID,84.87,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
681,Sibolga,ID,80.06,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
685,Pandan,PH,82.71,broken clouds,14.0453,124.1694,Bonifacio Lodge
