City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Samana,DO,2022-04-13 02:01:58,19.2056,-69.3369,75.07,84,12,9.48
60,Sobolevo,RU,2022-04-13 02:01:59,54.4299,31.8996,34.97,98,100,18.05
61,Mount Gambier,AU,2022-04-13 02:01:59,-37.8333,140.7667,66.65,51,12,5.35
62,Vaini,TO,2022-04-13 02:01:59,-21.2,-175.2,80.85,72,92,11.14
63,Victoria,HK,2022-04-13 02:02:00,22.2855,114.1577,81.18,84,13,8.99
64,Walvis Bay,NA,2022-04-13 02:02:00,-22.9575,14.5053,62.47,77,100,6.51
65,Chitral,PK,2022-04-13 02:02:01,35.8462,71.7858,54.9,87,100,4.63
66,Nizhnevartovsk,RU,2022-04-13 02:02:01,60.9344,76.5531,32.02,59,0,2.24
67,Chokurdakh,RU,2022-04-13 02:01:44,70.6333,147.9167,5.43,87,100,3.91
68,Hofn,IS,2022-04-13 02:02:02,64.2539,-15.2082,36.0,77,77,16.24
69,Waitati,NZ,2022-04-13 02:02:02,-45.75,170.5667,60.8,48,69,4.65
70,Athmallik,IN,2022-04-13 02:02:03,20.7219,84.5348,91.71,39,18,2.66
71,Cayenne,GF,2022-04-13 02:02:03,4.9333,-52.3333,82.09,1,100,6.91
72,Dikson,RU,2022-04-13 01:59:24,73.5069,80.5464,25.68,96,100,6.31
73,Tolbazy,RU,2022-04-13 02:02:04,54.0241,55.8825,39.4,84,87,7.02
74,Rio Branco,BR,2022-04-13 01:58:23,-9.9747,-67.81,79.41,89,0,4.61
75,Noumea,NC,2022-04-13 02:01:37,-22.2763,166.4572,84.18,72,7,7.52
76,Rikitea,PF,2022-04-13 02:02:05,-23.1203,-134.9692,79.27,70,18,18.88
77,Carazinho,BR,2022-04-13 02:00:35,-28.2839,-52.7864,64.38,93,100,4.54
78,Codrington,AU,2022-04-13 02:02:06,-38.2667,141.9667,64.72,61,94,7.11
79,Concordia,AR,2022-04-13 01:57:21,-31.393,-58.0209,65.79,64,97,8.01
80,Kapaa,US,2022-04-13 02:02:06,22.0752,-159.319,82.38,78,93,5.99
81,Emerald,AU,2022-04-13 02:02:07,-23.5333,148.1667,85.33,47,43,6.76
82,Kodiak,US,2022-04-13 02:02:07,57.79,-152.4072,40.17,69,16,12.44
83,Anadyr,RU,2022-04-13 02:02:08,64.75,177.4833,28.9,80,100,17.9
84,Kutum,SD,2022-04-13 02:02:09,14.2,24.6667,70.77,13,38,1.01
85,Bredasdorp,ZA,2022-04-13 02:02:09,-34.5322,20.0403,63.48,81,100,4.59
86,Baykit,RU,2022-04-13 02:02:10,61.67,96.37,28.47,82,100,5.21
87,Khatanga,RU,2022-04-13 02:02:10,71.9667,102.5,10.36,87,100,11.56
88,Narsaq,GL,2022-04-13 02:02:11,60.9167,-46.05,44.82,57,100,7.38
89,Saskylakh,RU,2022-04-13 02:03:11,71.9167,114.0833,-2.18,95,70,5.61
90,Tual,ID,2022-04-13 02:03:12,-5.6667,132.75,82.6,75,89,3.44
91,Meulaboh,ID,2022-04-13 02:03:12,4.1363,96.1285,80.44,82,99,2.84
92,Mahebourg,MU,2022-04-13 02:03:13,-20.4081,57.7,77.25,81,79,19.51
93,Pereleshinskiy,RU,2022-04-13 02:03:13,51.7148,40.1953,49.8,84,79,10.58
94,Florianopolis,BR,2022-04-13 01:58:55,-27.6146,-48.5012,72.37,94,75,3.44
95,Los Llanos De Aridane,ES,2022-04-13 02:03:14,28.6585,-17.9182,58.75,89,0,9.22
96,Port Alfred,ZA,2022-04-13 02:03:14,-33.5906,26.891,66.18,96,94,1.01
97,Lata,PT,2022-04-13 02:03:15,40.1629,-8.3327,46.29,97,22,1.59
98,Punta Arenas,CL,2022-04-13 01:58:22,-53.15,-70.9167,44.71,65,40,26.46
99,Boyuibe,BO,2022-04-13 02:03:15,-20.4167,-63.2833,66.99,99,100,6.58
100,Callaway,US,2022-04-13 02:03:16,30.153,-85.5699,69.96,83,20,10.36
101,Bhagwantnagar,IN,2022-04-13 02:03:17,26.2333,80.75,88.38,33,66,8.28
102,San Pedro De Lloc,PE,2022-04-13 02:03:17,-7.4328,-79.5058,68.05,81,40,13.44
103,Avdon,RU,2022-04-13 02:03:18,54.6667,55.7167,36.72,86,75,4.47
104,Clyde River,CA,2022-04-13 02:03:18,70.4692,-68.5914,-5.57,84,100,4.61
105,Hithadhoo,MV,2022-04-13 02:03:18,-0.6,73.0833,83.34,70,3,13.22
106,Kollam,IN,2022-04-13 02:00:18,8.8833,76.6,77.74,90,100,7.09
107,Rodrigues Alves,BR,2022-04-13 02:03:19,-7.738,-72.6509,73.17,97,79,2.44
108,Bengkulu,ID,2022-04-13 02:03:20,-3.8004,102.2655,81.0,77,29,1.05
109,Talnakh,RU,2022-04-13 02:03:20,69.4865,88.3972,34.21,97,100,7.65
110,Shingu,JP,2022-04-13 02:00:45,33.7333,135.9833,73.2,73,92,4.0
111,Korla,CN,2022-04-13 02:03:21,41.7597,86.1469,59.72,17,100,13.06
112,Yerbogachen,RU,2022-04-13 02:03:21,61.2767,108.0108,30.29,74,65,7.9
113,Maryborough,AU,2022-04-13 02:03:22,-25.5333,152.7,75.11,60,82,6.71
114,Merauke,ID,2022-04-13 02:03:22,-8.4667,140.3333,86.41,69,69,5.53
115,Tautira,PF,2022-04-13 02:03:22,-17.7333,-149.15,81.07,76,33,13.56
116,San Lorenzo,PY,2022-04-13 02:03:02,-25.3333,-57.5333,67.8,86,46,4.65
117,Lebedinyy,RU,2022-04-13 02:03:23,58.5167,125.5167,21.7,82,100,7.02
118,Vestmannaeyjar,IS,2022-04-13 02:03:23,63.4427,-20.2734,41.13,69,94,15.37
119,Artyshta,RU,2022-04-13 02:03:24,54.1222,86.2909,33.98,77,72,9.1
120,Naze,JP,2022-04-13 02:03:25,28.3667,129.4833,69.89,87,33,9.46
121,Turayf,SA,2022-04-13 02:03:25,31.6725,38.6637,47.68,64,1,5.66
122,Cabo San Lucas,MX,2022-04-13 02:01:53,22.8909,-109.9124,73.62,78,93,12.35
123,Fare,PF,2022-04-13 02:03:26,-16.7,-151.0167,82.31,71,2,13.42
124,Kenora,CA,2022-04-13 02:00:12,49.8167,-94.4337,35.78,51,100,8.99
125,Airai,TL,2022-04-13 01:59:06,-8.9266,125.4092,72.81,56,100,2.44
126,Kaseda,JP,2022-04-13 02:03:27,31.4167,130.3167,71.06,83,23,1.23
127,Klaksvik,FO,2022-04-13 02:03:27,62.2266,-6.589,43.72,87,93,20.29
128,Yinchuan,CN,2022-04-13 02:03:28,38.4681,106.2731,50.2,10,100,8.37
129,Alta Floresta,BR,2022-04-13 01:59:56,-9.8756,-56.0861,71.56,96,48,3.13
130,Karratha,AU,2022-04-13 02:03:28,-20.7377,116.8463,89.24,26,1,3.18
131,Hilo,US,2022-04-13 02:03:29,19.7297,-155.09,83.28,72,100,5.75
132,Miandrivazo,MG,2022-04-13 02:03:29,-19.5167,45.4667,76.23,61,51,2.82
133,Hobart,AU,2022-04-13 02:03:29,-42.8794,147.3294,69.26,50,20,14.97
134,Ponta Do Sol,PT,2022-04-13 02:03:30,32.6667,-17.1,66.0,76,96,3.38
135,Tonantins,BR,2022-04-13 02:04:31,-2.8731,-67.8022,74.12,97,76,2.53
136,Outlook,CA,2022-04-13 02:00:12,51.5001,-107.0513,21.24,59,100,14.61
137,General Roca,AR,2022-04-13 02:04:31,-39.0333,-67.5833,51.62,28,6,10.25
138,Saint-Philippe,RE,2022-04-13 02:04:32,-21.3585,55.7679,76.59,86,100,15.28
139,Carnarvon,AU,2022-04-13 02:04:32,-24.8667,113.6333,77.07,44,0,18.41
140,Coahuayana,MX,2022-04-13 02:04:33,18.7333,-103.6833,73.87,83,77,2.17
141,Huangcun,CN,2022-04-13 02:04:33,30.0145,118.4037,56.57,97,100,5.7
142,The Valley,AI,2022-04-13 02:04:33,18.217,-63.0578,78.1,64,0,20.15
143,Areosa,PT,2022-04-13 02:04:34,41.7178,-8.8571,51.84,92,80,2.1
