City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Constantine,DZ,36.365,6.6147,56.61,47,0,9.22,clear sky
69,Nikolayevsk-Na-Amure,RU,53.1406,140.73,32.05,86,100,6.55,overcast clouds
70,Cabo San Lucas,MX,22.8909,-109.9124,81.61,49,0,10.36,clear sky
71,Cherskiy,RU,68.75,161.3,24.85,86,100,8.39,overcast clouds
72,La Maddalena,IT,41.2142,9.4083,55.56,80,100,3.18,overcast clouds
73,Maniitsoq,GL,65.4167,-52.9,29.84,94,100,3.85,overcast clouds
74,Eyl,SO,7.9803,49.8164,81.12,79,12,6.2,few clouds
75,Strezhevoy,RU,60.7333,77.5889,16.59,92,100,13.2,light snow
76,Cidreira,BR,-30.1811,-50.2056,68.81,83,100,7.36,light rain
77,Ust-Kuyga,RU,70.0167,135.6,14.29,85,84,1.68,broken clouds
78,Bukachacha,RU,52.9833,116.9167,37.4,20,82,5.41,broken clouds
79,Dudinka,RU,69.4058,86.1778,2.62,98,91,4.99,overcast clouds
80,Busselton,AU,-33.65,115.3333,63.46,59,0,13.62,clear sky
81,Bethel,US,41.3712,-73.414,55.8,35,0,4.61,clear sky
82,Katherine,AU,-14.4667,132.2667,89.92,27,20,14.97,few clouds
83,Tomatlan,MX,19.9333,-105.25,77.58,59,0,6.29,clear sky
84,Port Alfred,ZA,-33.5906,26.891,58.17,95,100,6.06,light rain
85,Severo-Kurilsk,RU,50.6789,156.125,38.43,99,100,12.37,light rain
86,Ponta Do Sol,PT,32.6667,-17.1,63.23,70,68,12.26,broken clouds
87,Port Hedland,AU,-20.3167,118.5667,91.45,13,0,16.11,clear sky
88,Hithadhoo,MV,-0.6,73.0833,84.0,74,100,11.03,overcast clouds
89,Mamontovo,RU,52.7055,81.6244,29.68,41,0,5.99,clear sky
90,Mar Del Plata,AR,-38.0023,-57.5575,53.62,92,75,13.0,broken clouds
91,Ossora,RU,59.2353,163.0719,27.99,83,83,2.84,broken clouds
92,Muroto,JP,33.2833,134.15,66.7,65,92,2.89,overcast clouds
93,Novobirilyussy,RU,56.9514,90.6661,22.06,62,90,12.08,overcast clouds
94,Pisco,PE,-13.7,-76.2167,65.01,88,0,12.66,clear sky
95,Vanavara,RU,60.34,102.2797,31.32,69,31,7.74,scattered clouds
96,Ancud,CL,-41.8697,-73.8203,58.23,96,100,32.73,heavy intensity rain
97,Provideniya,RU,64.3833,-173.3,33.75,63,13,1.9,few clouds
98,Tukrah,LY,32.5341,20.5791,61.57,86,5,4.12,clear sky
99,Ostersund,SE,63.1792,14.6357,37.62,80,100,5.75,overcast clouds
100,Codrington,AU,-38.2667,141.9667,61.57,56,17,10.42,few clouds
101,Hope,US,33.6671,-93.5916,78.85,71,6,6.51,clear sky
